"MSGNO","AREA","DEFAULT_TYPE","TEXT","PRIMARY_OBJECTS","CONSOLIDATION_NOTE"
"001","COMMON","E","&1","ZBP_I_IAM_LREQ_HDR","Dynamic pass-through only for messages originating from BAPI or another message class"
"010","COMMON","E","Missing authorization &1 ACTVT=&2","ZCL_IAM_ACCESS_CTRL; ZCL_IAM_SOD_ADMIN","Consolidates fixed and parameterized authorization errors"
"011","COMMON","W","Select at least one user","ZPG_RUSERS_02; ZPG_IAM_RUSERS_SOD_I01","Consolidates general and SoD-specific selection warnings"
"012","COMMON","E","No data found","ZPG_RUSERS_02","Normalizes punctuation"
"013","COMMON","E","Save failed","ZPG_IAM_CFG_MAINT","Shared by Firefighter-role and SoD-rule maintenance"
"014","COMMON","S","Configuration saved successfully","ZPG_IAM_CFG_MAINT","Shared by Firefighter-role and SoD-rule maintenance"
"015","COMMON","I","No roles found for selected users","ZPG_RUSERS_02","Consolidates duplicate CHECK_AUTH and REMOVE_AUTH messages"
"016","COMMON","W","No roles selected for removal","ZPG_RUSERS_02",""
"017","COMMON","S","Roles removed successfully","ZPG_RUSERS_02",""
"018","COMMON","E","Role removal failed; changes were rolled back","ZPG_RUSERS_02","Normalizes rollback wording"
"019","COMMON","W","Remove &1 role(s) from selected users?","ZPG_RUSERS_02","Confirmation question"
"020","COMMON","E","Invalid mode. Use I, E, or B only","ZPG_IAM_ACCESS_CONTROL","Consolidates MESSAGE and WRITE variants"
"021","COMMON","E","Review reason is required","ZCL_IAM_SOD_ADMIN; ZPG_IAM_RUSERS_SOD_I01","Consolidates mandatory-review-reason variants"
"022","COMMON","E","Select exactly one conflicting role","ZPG_IAM_RUSERS_SOD_I01","Shortens current wording without changing behavior"
"023","COMMON","I","No SoD conflicts found for selected users","ZPG_IAM_RUSERS_SOD_I01",""
"024","COMMON","W","Rule &1 is exempt; no role was removed","ZPG_IAM_RUSERS_SOD_I01",""
"025","COMMON","W","Remove role &1 from user &2?","ZPG_IAM_RUSERS_SOD_I01","Confirmation question"
"026","COMMON","W","User &1 is busy; operation deferred","ZCL_IAM_ACCESS_CTRL","Consolidates inactivity, grant, and revoke busy-user variants"
"027","COMMON","E","Audit persistence failed; operation was rolled back","ZCL_IAM_SOD_ADMIN","Consolidates audit UUID and audit-write rollback errors"
"028","COMMON","E","No BAPI message was returned","ZCL_IAM_ACCESS_CTRL",""
"100","LIFECYCLE","E","Approval rationale is required for Critical SoD","ZBP_I_IAM_LREQ_HDR",""
"101","LIFECYCLE","E","Enter a valid email address for a Joiner request","ZBP_I_IAM_LREQ_HDR","Normalizes e-mail spelling and punctuation"
"102","LIFECYCLE","E","New department is required for a Mover request","ZBP_I_IAM_LREQ_HDR","Local source; pending live synchronization"
"103","LIFECYCLE","E","Department &1 does not exist or is inactive","ZBP_I_IAM_LREQ_HDR","Local source; pending live synchronization"
"104","LIFECYCLE","E","SAP user &1 already exists; use a Mover request","ZBP_I_IAM_LREQ_HDR","Local source; pending live synchronization"
"105","LIFECYCLE","E","Joiner request &1 already exists for SAP user &2","ZBP_I_IAM_LREQ_HDR","Local source; pending live synchronization"
"200","FIREFIGHTER","E","Duration must be between 1 and 24 hours","ZCL_IAM_FF_SERVICE",""
"201","FIREFIGHTER","E","Emergency role is inactive or not allowlisted","ZCL_IAM_FF_SERVICE","Shortens existing allowlist validation"
"202","FIREFIGHTER","E","Duration exceeds role maximum of &1 hour(s)","ZCL_IAM_FF_SERVICE",""
"203","FIREFIGHTER","E","Firefighter grant &1 is already queued or in progress","ZCL_IAM_FF_SERVICE","Consolidates long local and shorter live duplicate-grant messages"
"204","FIREFIGHTER","E","Unable to create Firefighter grant ID","ZCL_IAM_FF_SERVICE",""
"205","FIREFIGHTER","E","Unable to calculate Firefighter expiry timestamp","ZCL_IAM_FF_SERVICE",""
"206","FIREFIGHTER","E","Unable to create Firefighter grant record","ZCL_IAM_FF_SERVICE",""
"207","FIREFIGHTER","E","Firefighter grant creation cancelled because audit failed","ZCL_IAM_FF_SERVICE","Shortens Z-audit wording"
"208","FIREFIGHTER","S","Firefighter grant queued for background processing","ZCL_IAM_FF_SERVICE",""
"209","FIREFIGHTER","E","Firefighter grant &1 no longer exists","ZCL_IAM_ACCESS_CTRL",""
"210","FIREFIGHTER","I","Firefighter grant &1 is no longer revocable","ZCL_IAM_ACCESS_CTRL",""
"211","FIREFIGHTER","E","Concurrent revoke detected for grant &1","ZCL_IAM_ACCESS_CTRL",""
"212","FIREFIGHTER","I","Physical revoke skipped; baseline or overlap retained","ZCL_IAM_ACCESS_CTRL","Normalizes baseline and overlapping-role case"
"213","FIREFIGHTER","E","Managed role missing during ownership transfer","ZCL_IAM_ACCESS_CTRL",""
"214","FIREFIGHTER","E","Managed role ownership transfer failed","ZCL_IAM_ACCESS_CTRL",""
"215","FIREFIGHTER","E","Managed role validity changed; manual review required","ZCL_IAM_ACCESS_CTRL","Normalizes DRIFT prefix"
"216","FIREFIGHTER","I","Managed role was already absent","ZCL_IAM_ACCESS_CTRL",""
"217","FIREFIGHTER","E","Grant &1 role changed but final audit failed; recovery required","ZCL_IAM_ACCESS_CTRL",""
"218","FIREFIGHTER","I","Firefighter grant &1: &2","ZCL_IAM_ACCESS_CTRL","Shared final grant/revoke result envelope"
